periodStartDate;periodEndDate;periodDuration;in minutes;minCupolaTemp;maxCupolaTemp;avgCupolaTemp;cupolaTempChangeRate;minSmokeTemp;maxSmokeTemp;smokeTempChangeRate;minGasFlowRate;maxGasFlowRate;avgGasFlowRate;sumGasFlowRate
21.10.2010 23:00;22.10.2010 3:04;4:04:10;244,00;1249,30;1335,20;1314,17;21,11;93,60;400,50;75,42;0,00;38263,30;31740,48;129159,44
22.10.2010 5:44;22.10.2010 9:46;4:02:19;242,00;1200,00;1338,00;1318,41;34,17;84,40;400,00;78,15;0,00;39107,45;32108,89;128733,07
22.10.2010 12:17;22.10.2010 16:07;3:49:22;229,00;1266,70;1365,70;1337,74;25,90;80,70;400,50;83,66;0,00;35696,45;29754,59;113596,84
22.10.2010 18:42;22.10.2010 22:13;3:31:05;211,00;1219,00;1322,20;1290,12;29,33;84,50;400,00;89,68;0,00;37548,35;31961,02;112712,63
23.10.2010 0:35;23.10.2010 4:10;3:35:05;215,00;1253,80;1330,60;1314,63;21,42;85,20;400,30;87,90;0,00;40890,90;32297,34;115599,94
23.10.2010 7:06;23.10.2010 10:53;3:47:16;227,00;1200,00;1294,60;1273,67;24,98;80,00;415,10;88,47;0,00;40462,82;33183,50;124918,84
23.10.2010 13:53;23.10.2010 17:26;3:32:45;212,00;1242,40;1352,80;1320,00;31,14;85,80;403,80;89,68;0,00;36135,11;29717,24;105533,29
23.10.2010 19:19;23.10.2010 22:43;3:23:45;203,00;1200,00;1357,10;1341,62;46,26;86,80;400,70;92,44;0,00;36391,96;29648,08;95042,03
24.10.2010 1:16;24.10.2010 4:53;3:37:06;217,00;1228,30;1342,10;1306,04;31,45;79,60;400,20;88,60;0,00;35726,10;30971,31;112071,27
24.10.2010 13:39;24.10.2010 17:11;3:32:44;212,00;1229,90;1341,90;1308,15;31,59;80,40;400,70;90,34;0,00;41251,05;32520,39;115482,79
24.10.2010 20:12;24.10.2010 23:45;3:32:20;212,00;1235,80;1361,60;1327,99;35,55;85,20;378,90;82,99;0,00;40124,59;32970,57;116866,63
25.10.2010 15:41;25.10.2010 19:34;3:52:50;232,00;1254,00;1336,70;1315,16;22,91;85,00;400,30;87,35;0,00;35091,89;30664,81;110698,28
25.10.2010 21:48;26.10.2010 1:24;3:36:35;216,00;1267,40;1365,30;1349,28;25,67;85,00;402,40;83,22;0,00;34257,00;30123,56;110367,80
26.10.2010 10:03;26.10.2010 14:12;4:09:01;249,00;1200,00;1340,80;1284,78;37,01;86,30;400,00;82,47;0,00;37959,45;32642,07;123156,09
27.10.2010 5:26;27.10.2010 9:10;3:43:53;223,00;1250,70;1334,60;1302,65;22,42;90,70;400,50;82,79;0,00;32013,45;27928,64;104667,93
27.10.2010 18:04;27.10.2010 21:25;3:20:59;200,00;1200,00;1329,50;1294,62;33,11;85,20;400,00;80,48;0,00;41453,83;29753,88;98911,29
28.10.2010 13:16;28.10.2010 16:59;3:42:54;222,00;1200,00;1344,90;1325,36;38,14;85,40;400,00;82,81;0,00;36521,97;30660,59;106793,69
28.10.2010 19:10;28.10.2010 22:58;3:47:57;227,00;1262,70;1361,00;1342,30;26,28;80,40;400,40;85,55;0,00;35741,64;30482,95;114015,59
29.10.2010 8:28;29.10.2010 11:55;3:27:30;207,00;1283,80;1365,50;1338,47;25,95;87,60;400,30;99,30;0,00;43353,76;30158,04;94966,24
30.10.2010 10:00;30.10.2010 13:10;3:10:14;190,00;1239,20;1305,20;1283,71;15,03;88,60;409,70;73,11;0,00;37070,69;28821,59;124905,26
